Depth (ft),ROP (ft/hr),WOB (k-lbs),Temp Out (degF),Temp In (degF),Pit Total (bbls),Pump Press (psi),Hookload (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (liters/min),Flow Out (%),WH Pressure (psi)
85.18,56.8,0,93.49,90.87,274.83,463.72,31.77,8.93,151.09,4200.22,101.61,-1230.69
86.18,61.14,0,93.52,90.83,274.83,459.53,31.01,8.93,151.09,4195.6,101.7,-1230.69
87.23,18.58,0,94.25,90.91,273.8,454.57,31.01,9.01,61.54,4174.82,96.81,-1230.69
88.26,38.29,0,94.44,91.14,273.79,451.14,31.16,8.97,60.23,4167.89,96.67,-1230.69
89.36,394.38,0,94.48,91.18,273.8,456.09,31.54,8.97,61.75,4173.26,96.63,-1230.69
90.39,413.16,0,94.52,91.18,273.79,452.28,30.24,8.97,61.99,4170.95,96.58,-1230.69
91.39,450.72,0.76,94.52,91.21,273.8,454.19,29.33,8.97,62.07,4171.75,96.72,-1230.69
92.39,600.96,0,94.52,91.21,273.79,452.66,31.01,9.01,61.95,4172.51,96.81,-1230.69
93.49,399.5,0,94.55,91.25,273.8,448.85,30.93,8.97,61.42,4160.96,96.44,-1230.69
94.59,563.4,0,94.55,91.29,273.79,452.66,30.78,9.01,59.57,4174.82,95.93,-1230.69
95.65,638.52,0,94.55,91.29,273.79,452.28,31.08,9.01,59.33,4177.12,95.74,-1230.69
96.68,743.69,0,94.55,91.29,273.79,448.47,31.46,8.97,58.67,4165.58,95.53,-1230.69
97.75,348.28,2.13,94.55,91.37,273.79,452.28,27.96,8.97,56.05,4176.37,96.07,-1230.69
99.5,100,0,90.89,93.24,279.64,19.94,40.61,8.74,0,0,25.11,-1231.45
101.35,147.35,0,90.89,93.27,278.58,139.28,37.95,8.74,0,1775.89,38.44,-1231.45
102.51,54.86,0,90.78,93.16,275.49,383.66,37.56,8.82,53.92,4042.93,81.34,-1231.45
103.51,180.29,0,90.78,93.16,275.44,385.18,35.81,8.82,0,4042.89,83.65,-1231.45
104.57,106.42,0,90.67,93.16,275.42,384.8,36.12,8.78,0,4034.41,83.32,-1231.45
105.67,147.35,0,86.81,93.04,275.81,386.33,36.19,8.82,61.38,4022.87,80.92,-1231.07
