Wellbore name,NPDCode,Year,Month,On Stream,Oil,Gas,Water,GI,WI
15/9-F-1 C,7405,2014,4,228,11142.00,1597937.00,0.00,,
15/9-F-1 C,7405,2014,5,734,24902.00,3496230.00,783.00,,
15/9-F-1 C,7405,2014,6,706,19618.00,2886662.00,2068.00,,
15/9-F-1 C,7405,2014,7,742,15086.00,2249366.00,6244.00,,
15/9-F-1 C,7405,2014,8,433,6970.00,1048191.00,4530.00,,
15/9-F-1 C,7405,2014,9,630,9168.00,1414100.00,8318.00,,
15/9-F-1 C,7405,2014,10,745,9468.00,1462064.00,10365.00,,
15/9-F-1 C,7405,2014,11,580,6710.00,1044188.00,7234.00,,
15/9-F-1 C,7405,2014,12,28,120.00,25857.00,183.00,,
15/9-F-1 C,7405,2015,1,480,10876.00,1604935.00,6851.00,,
15/9-F-1 C,7405,2015,2,437,9587.00,1439454.00,10745.00,,
15/9-F-1 C,7405,2015,3,320,5879.00,856681.00,11607.00,,
15/9-F-1 C,7405,2015,4,263,3924.00,566710.00,9815.00,,
15/9-F-1 C,7405,2015,5,181,3833.00,559060.00,6167.00,,
15/9-F-1 C,7405,2015,6,466,6345.00,925337.00,14549.00,,
15/9-F-1 C,7405,2015,7,242,2094.00,315179.00,8454.00,,
15/9-F-1 C,7405,2015,8,148,2871.00,427693.00,5334.00,,
15/9-F-1 C,7405,2015,9,384,6460.00,961548.00,14767.00,,
15/9-F-1 C,7405,2015,10,368,4086.00,631373.00,13539.00,,
15/9-F-1 C,7405,2015,11,301,3332.00,508384.00,11682.00,,
15/9-F-1 C,7405,2015,12,198,2949.00,454911.00,6232.00,,
15/9-F-1 C,7405,2016,1,388,2981.00,471676.00,14036.00,,
15/9-F-1 C,7405,2016,2,484,4718.00,742340.00,15946.00,,
15/9-F-1 C,7405,2016,3,357,2918.00,476830.00,13411.00,,
15/9-F-1 C,7405,2016,4,141,1672.00,274213.00,4441.00,,
15/9-F-11,7078,2013,7,113,3923.00,590505.00,0.00,,
15/9-F-11,7078,2013,8,587,25496.00,3871942.00,520.00,,
15/9-F-11,7078,2013,9,539,23775.00,3661574.00,1574.00,,
15/9-F-11,7078,2013,10,678,34115.00,5272724.00,1927.00,,
15/9-F-11,7078,2013,11,712,35386.00,5413486.00,3791.00,,
15/9-F-11,7078,2013,12,662,33406.00,5190659.00,4963.00,,
15/9-F-11,7078,2014,1,668,34552.00,5193353.00,4343.00,,
15/9-F-11,7078,2014,2,563,28190.00,4255283.00,2841.00,,
15/9-F-11,7078,2014,3,655,33291.00,5039850.00,3692.00,,
15/9-F-11,7078,2014,4,692,35429.00,5301959.00,4124.00,,
15/9-F-11,7078,2014,5,732,34832.00,4902619.00,5017.00,,
15/9-F-11,7078,2014,6,709,33899.00,4990685.00,6084.00,,
15/9-F-11,7078,2014,7,743,33760.00,5035917.00,6801.00,,
15/9-F-11,7078,2014,8,599,26038.00,4033770.00,6077.00,,
15/9-F-11,7078,2014,9,691,33222.00,5220329.00,8349.00,,
15/9-F-11,7078,2014,10,745,33852.00,5237208.00,10288.00,,
15/9-F-11,7078,2014,11,692,26612.00,4153116.00,9404.00,,
