Wellbore name	NPDCode	Year	Month	On Stream	Oil	Gas	Water	GI	WI
15/9-F-1 C	7405	2014	4	228	"11,142"	"1,597,937"	0	NULL	NULL
15/9-F-1 C	7405	2014	5	734	"24,902"	"3,496,230"	783	NULL	NULL
15/9-F-1 C	7405	2014	6	706	"19,618"	"2,886,662"	"2,068"	NULL	NULL
15/9-F-1 C	7405	2014	7	742	"15,086"	"2,249,366"	"6,244"	NULL	NULL
15/9-F-1 C	7405	2014	8	433	"6,970"	"1,048,191"	"4,530"	NULL	NULL
15/9-F-1 C	7405	2014	9	630	"9,168"	"1,414,100"	"8,318"	NULL	NULL
15/9-F-1 C	7405	2014	10	745	"9,468"	"1,462,064"	"10,365"	NULL	NULL
15/9-F-1 C	7405	2014	11	580	"6,710"	"1,044,188"	"7,234"	NULL	NULL
15/9-F-1 C	7405	2014	12	28	120	"25,857"	183	NULL	NULL
15/9-F-1 C	7405	2015	1	480	"10,876"	"1,604,935"	"6,851"	NULL	NULL
15/9-F-1 C	7405	2015	2	437	"9,587"	"1,439,454"	"10,745"	NULL	NULL
15/9-F-1 C	7405	2015	3	320	"5,879"	"856,681"	"11,607"	NULL	NULL
15/9-F-1 C	7405	2015	4	263	"3,924"	"566,710"	"9,815"	NULL	NULL
15/9-F-1 C	7405	2015	5	181	"3,833"	"559,060"	"6,167"	NULL	NULL
15/9-F-1 C	7405	2015	6	466	"6,345"	"925,337"	"14,549"	NULL	NULL
15/9-F-1 C	7405	2015	7	242	"2,094"	"315,179"	"8,454"	NULL	NULL
15/9-F-1 C	7405	2015	8	148	"2,871"	"427,693"	"5,334"	NULL	NULL
15/9-F-1 C	7405	2015	9	384	"6,460"	"961,548"	"14,767"	NULL	NULL
15/9-F-1 C	7405	2015	10	368	"4,086"	"631,373"	"13,539"	NULL	NULL
15/9-F-1 C	7405	2015	11	301	"3,332"	"508,384"	"11,682"	NULL	NULL
15/9-F-1 C	7405	2015	12	198	"2,949"	"454,911"	"6,232"	NULL	NULL
15/9-F-1 C	7405	2016	1	388	"2,981"	"471,676"	"14,036"	NULL	NULL
15/9-F-1 C	7405	2016	2	484	"4,718"	"742,340"	"15,946"	NULL	NULL
15/9-F-1 C	7405	2016	3	357	"2,918"	"476,830"	"13,411"	NULL	NULL
15/9-F-1 C	7405	2016	4	141	"1,672"	"274,213"	"4,441"	NULL	NULL
15/9-F-11	7078	2013	7	113	"3,923"	"590,505"	0	NULL	NULL
15/9-F-11	7078	2013	8	587	"25,496"	"3,871,942"	520	NULL	NULL
15/9-F-11	7078	2013	9	539	"23,775"	"3,661,574"	"1,574"	NULL	NULL
15/9-F-11	7078	2013	10	678	"34,115"	"5,272,724"	"1,927"	NULL	NULL
15/9-F-11	7078	2013	11	712	"35,386"	"5,413,486"	"3,791"	NULL	NULL
15/9-F-11	7078	2013	12	662	"33,406"	"5,190,659"	"4,963"	NULL	NULL
15/9-F-11	7078	2014	1	668	"34,552"	"5,193,353"	"4,343"	NULL	NULL
15/9-F-11	7078	2014	2	563	"28,190"	"4,255,283"	"2,841"	NULL	NULL
15/9-F-11	7078	2014	3	655	"33,291"	"5,039,850"	"3,692"	NULL	NULL
15/9-F-11	7078	2014	4	692	"35,429"	"5,301,959"	"4,124"	NULL	NULL
15/9-F-11	7078	2014	5	732	"34,832"	"4,902,619"	"5,017"	NULL	NULL
15/9-F-11	7078	2014	6	709	"33,899"	"4,990,685"	"6,084"	NULL	NULL
15/9-F-11	7078	2014	7	743	"33,760"	"5,035,917"	"6,801"	NULL	NULL
15/9-F-11	7078	2014	8	599	"26,038"	"4,033,770"	"6,077"	NULL	NULL
15/9-F-11	7078	2014	9	691	"33,222"	"5,220,329"	"8,349"	NULL	NULL
15/9-F-11	7078	2014	10	745	"33,852"	"5,237,208"	"10,288"	NULL	NULL
15/9-F-11	7078	2014	11	692	"26,612"	"4,153,116"	"9,404"	NULL	NULL
15/9-F-11	7078	2014	12	734	"8,548"	"1,413,112"	"3,079"	NULL	NULL
15/9-F-11	7078	2015	1	708	"29,562"	"4,358,979"	"13,861"	NULL	NULL
15/9-F-11	7078	2015	2	632	"25,347"	"3,836,074"	"14,061"	NULL	NULL
15/9-F-11	7078	2015	3	744	"44,316"	"6,516,700"	"19,387"	NULL	NULL
15/9-F-11	7078	2015	4	720	"54,556"	"7,956,467"	"23,840"	NULL	NULL
15/9-F-11	7078	2015	5	744	"55,029"	"8,027,510"	"24,426"	NULL	NULL
15/9-F-11	7078	2015	6	719	"48,231"	"7,065,852"	"22,892"	NULL	NULL
15/9-F-11	7078	2015	7	744	"43,785"	"6,508,853"	"36,196"	NULL	NULL
15/9-F-11	7078	2015	8	632	"31,498"	"4,769,902"	"31,870"	NULL	NULL
15/9-F-11	7078	2015	9	719	"31,425"	"4,748,110"	"37,412"	NULL	NULL
15/9-F-11	7078	2015	10	627	"29,725"	"4,501,570"	"38,023"	NULL	NULL
15/9-F-11	7078	2015	11	671	"36,410"	"5,558,573"	"57,059"	NULL	NULL
15/9-F-11	7078	2015	12	740	"35,934"	"5,504,665"	"62,976"	NULL	NULL
15/9-F-11	7078	2016	1	736	"31,603"	"4,949,941"	"67,981"	NULL	NULL
15/9-F-11	7078	2016	2	696	"25,955"	"4,093,287"	"66,610"	NULL	NULL
15/9-F-11	7078	2016	3	743	"25,024"	"4,032,038"	"76,637"	NULL	NULL
15/9-F-11	7078	2016	4	579	"13,429"	"2,194,427"	"57,932"	NULL	NULL
15/9-F-11	7078	2016	5	744	"15,529"	"2,450,714"	"73,445"	NULL	NULL
15/9-F-11	7078	2016	6	718	"14,591"	"2,349,131"	"71,699"	NULL	NULL
15/9-F-11	7078	2016	7	740	"14,385"	"2,309,447"	"77,085"	NULL	NULL
15/9-F-11	7078	2016	8	744	"14,584"	"2,341,372"	"87,762"	NULL	NULL
15/9-F-11	7078	2016	9	392	"8,609"	"1,458,816"	"46,779"	NULL	NULL
15/9-F-12	5599	2008	2	407	"49,091"	"7,068,009"	413	NULL	NULL
15/9-F-12	5599	2008	3	655	"83,361"	"12,191,171"	27	NULL	NULL
15/9-F-12	5599	2008	4	614	"74,532"	"11,506,441"	482	NULL	NULL
15/9-F-12	5599	2008	5	716	"125,479"	"19,091,872"	"16,280"	NULL	NULL
15/9-F-12	5599	2008	6	676	"143,787"	"21,512,334"	474	NULL	NULL
15/9-F-12	5599	2008	7	711	"114,995"	"17,116,442"	290	NULL	NULL
15/9-F-12	5599	2008	8	673	"97,822"	"14,143,008"	354	NULL	NULL
15/9-F-12	5599	2008	9	568	"77,667"	"11,185,944"	188	NULL	NULL
15/9-F-12	5599	2008	10	738	"94,357"	"13,430,834"	624	NULL	NULL
15/9-F-12	5599	2008	11	713	"145,916"	"20,837,122"	"2,390"	NULL	NULL
15/9-F-12	5599	2008	12	744	"166,440"	"24,106,362"	"1,003"	NULL	NULL
15/9-F-12	5599	2009	1	741	"153,677"	"22,255,224"	390	NULL	NULL
15/9-F-12	5599	2009	2	656	"121,905"	"17,427,052"	0	NULL	NULL
15/9-F-12	5599	2009	3	506	"92,959"	"13,123,547"	0	NULL	NULL
15/9-F-12	5599	2009	4	719	"150,956"	"20,931,108"	"1,246"	NULL	NULL
15/9-F-12	5599	2009	5	695	"141,039"	"19,366,853"	"3,106"	NULL	NULL
15/9-F-12	5599	2009	6	715	"132,430"	"17,787,476"	"2,659"	NULL	NULL
15/9-F-12	5599	2009	7	742	"106,105"	"14,721,967"	"3,289"	NULL	NULL
15/9-F-12	5599	2009	8	589	"112,414"	"15,676,350"	"5,024"	NULL	NULL
15/9-F-12	5599	2009	9	493	"90,099"	"12,553,422"	"2,235"	NULL	NULL
15/9-F-12	5599	2009	10	684	"126,940"	"17,819,694"	"6,813"	NULL	NULL
15/9-F-12	5599	2009	11	706	"136,016"	"19,181,584"	"11,287"	NULL	NULL
15/9-F-12	5599	2009	12	729	"158,002"	"22,160,862"	"17,321"	NULL	NULL
15/9-F-12	5599	2010	1	742	"149,659"	"21,044,604"	"30,230"	NULL	NULL
15/9-F-12	5599	2010	2	609	"103,026"	"14,520,590"	"43,216"	NULL	NULL
15/9-F-12	5599	2010	3	648	"101,572"	"14,278,519"	"53,999"	NULL	NULL
15/9-F-12	5599	2010	4	706	"86,254"	"12,161,146"	"67,996"	NULL	NULL
15/9-F-12	5599	2010	5	733	"77,114"	"10,970,381"	"74,438"	NULL	NULL
15/9-F-12	5599	2010	6	717	"69,617"	"9,944,534"	"83,268"	NULL	NULL
15/9-F-12	5599	2010	7	742	"64,040"	"9,283,377"	"95,054"	NULL	NULL
15/9-F-12	5599	2010	8	427	"30,117"	"4,346,504"	"54,788"	NULL	NULL
15/9-F-12	5599	2010	9	645	"51,313"	"7,750,211"	"89,429"	NULL	NULL
15/9-F-12	5599	2010	10	743	"51,431"	"7,741,377"	"99,543"	NULL	NULL
15/9-F-12	5599	2010	11	690	"44,468"	"6,747,078"	"102,236"	NULL	NULL
15/9-F-12	5599	2010	12	741	"45,218"	"6,910,660"	"111,336"	NULL	NULL
15/9-F-12	5599	2011	1	744	"44,747"	"6,824,001"	"116,886"	NULL	NULL
15/9-F-12	5599	2011	2	557	"29,157"	"4,519,227"	"85,274"	NULL	NULL
15/9-F-12	5599	2011	3	730	"37,395"	"5,760,219"	"113,239"	NULL	NULL
15/9-F-12	5599	2011	4	718	"37,820"	"5,877,461"	"116,196"	NULL	NULL
15/9-F-12	5599	2011	5	736	"37,205"	"5,801,740"	"119,567"	NULL	NULL
15/9-F-12	5599	2011	6	463	"22,026"	"3,412,026"	"74,563"	NULL	NULL
15/9-F-12	5599	2011	7	245	"12,462"	"1,823,751"	"31,888"	NULL	NULL
15/9-F-12	5599	2011	8	651	"36,380"	"5,446,517"	"99,005"	NULL	NULL
15/9-F-12	5599	2011	9	707	"29,999"	"4,566,407"	"110,472"	NULL	NULL
15/9-F-12	5599	2011	10	326	"12,648"	"1,919,664"	"52,876"	NULL	NULL
15/9-F-12	5599	2011	11	459	"21,789"	"3,242,434"	"75,773"	NULL	NULL
15/9-F-12	5599	2011	12	425	"18,090"	"2,650,493"	"64,677"	NULL	NULL
15/9-F-12	5599	2012	1	400	"18,218"	"2,722,573"	"63,858"	NULL	NULL
15/9-F-12	5599	2012	2	689	"27,362"	"4,289,925"	"133,955"	NULL	NULL
15/9-F-12	5599	2012	3	740	"26,680"	"4,276,186"	"142,184"	NULL	NULL
15/9-F-12	5599	2012	4	710	"24,088"	"3,866,150"	"138,112"	NULL	NULL
15/9-F-12	5599	2012	5	738	"22,415"	"3,630,958"	"140,203"	NULL	NULL
15/9-F-12	5599	2012	6	711	"20,887"	"3,394,646"	"134,081"	NULL	NULL
15/9-F-12	5599	2012	7	744	"21,207"	"3,444,769"	"140,165"	NULL	NULL
15/9-F-12	5599	2012	8	289	"8,998"	"1,376,155"	"54,787"	NULL	NULL
15/9-F-12	5599	2012	9	27	"1,014"	"156,920"	"4,513"	NULL	NULL
15/9-F-12	5599	2012	10	610	"19,613"	"3,067,585"	"121,317"	NULL	NULL
15/9-F-12	5599	2012	11	720	"19,019"	"3,086,440"	"134,909"	NULL	NULL
15/9-F-12	5599	2012	12	700	"16,321"	"2,717,290"	"131,667"	NULL	NULL
15/9-F-12	5599	2013	1	744	"17,409"	"2,881,179"	"139,784"	NULL	NULL
15/9-F-12	5599	2013	2	672	"15,087"	"2,461,249"	"126,325"	NULL	NULL
15/9-F-12	5599	2013	3	308	"6,306"	"1,053,666"	"57,121"	NULL	NULL
15/9-F-12	5599	2013	4	513	"12,351"	"2,055,292"	"102,945"	NULL	NULL
15/9-F-12	5599	2013	5	732	"16,313"	"2,757,755"	"147,165"	NULL	NULL
15/9-F-12	5599	2013	6	567	"11,900"	"2,037,220"	"112,559"	NULL	NULL
15/9-F-12	5599	2013	7	581	"11,862"	"1,919,702"	"112,173"	NULL	NULL
15/9-F-12	5599	2013	8	688	"15,147"	"2,354,241"	"152,995"	NULL	NULL
15/9-F-12	5599	2013	9	590	"9,224"	"1,446,819"	"104,678"	NULL	NULL
15/9-F-12	5599	2013	10	680	"8,305"	"1,283,584"	"137,535"	NULL	NULL
15/9-F-12	5599	2013	11	649	"7,171"	"1,102,962"	"122,993"	NULL	NULL
15/9-F-12	5599	2013	12	633	"7,080"	"1,101,389"	"125,859"	NULL	NULL
15/9-F-12	5599	2014	1	486	"4,997"	"766,196"	"87,030"	NULL	NULL
15/9-F-12	5599	2014	2	562	"6,101"	"921,967"	"110,298"	NULL	NULL
15/9-F-12	5599	2014	3	657	"6,836"	"1,036,071"	"127,351"	NULL	NULL
15/9-F-12	5599	2014	4	693	"5,892"	"883,605"	"141,145"	NULL	NULL
15/9-F-12	5599	2014	5	427	"3,238"	"469,664"	"88,748"	NULL	NULL
15/9-F-12	5599	2014	6	707	"5,751"	"846,734"	"152,035"	NULL	NULL
15/9-F-12	5599	2014	7	743	"5,792"	"864,046"	"152,314"	NULL	NULL
15/9-F-12	5599	2014	8	593	"4,448"	"704,538"	"126,629"	NULL	NULL
15/9-F-12	5599	2014	9	686	"5,063"	"803,971"	"149,376"	NULL	NULL
15/9-F-12	5599	2014	10	745	"5,386"	"833,121"	"155,366"	NULL	NULL
15/9-F-12	5599	2014	11	581	"4,495"	"700,998"	"114,661"	NULL	NULL
15/9-F-12	5599	2014	12	0	0	0	0	NULL	NULL
15/9-F-12	5599	2015	1	716	"25,713"	"3,780,459"	"11,588"	NULL	NULL
15/9-F-12	5599	2015	2	623	"19,579"	"2,960,674"	"15,116"	NULL	NULL
15/9-F-12	5599	2015	3	665	"19,341"	"2,853,433"	"19,256"	NULL	NULL
15/9-F-12	5599	2015	4	720	"19,797"	"2,889,395"	"20,808"	NULL	NULL
15/9-F-12	5599	2015	5	744	"16,996"	"2,479,620"	"25,201"	NULL	NULL
15/9-F-12	5599	2015	6	709	"19,536"	"2,859,707"	"32,903"	NULL	NULL
15/9-F-12	5599	2015	7	744	"19,157"	"2,846,821"	"36,481"	NULL	NULL
15/9-F-12	5599	2015	8	637	"13,473"	"2,047,121"	"31,629"	NULL	NULL
15/9-F-12	5599	2015	9	719	"12,495"	"1,888,049"	"35,065"	NULL	NULL
15/9-F-12	5599	2015	10	739	"11,889"	"1,821,328"	"38,151"	NULL	NULL
15/9-F-12	5599	2015	11	720	"11,369"	"1,748,311"	"37,663"	NULL	NULL
15/9-F-12	5599	2015	12	731	"10,856"	"1,662,453"	"37,288"	NULL	NULL
15/9-F-12	5599	2016	1	736	"9,495"	"1,487,340"	"38,970"	NULL	NULL
15/9-F-12	5599	2016	2	696	"7,644"	"1,205,549"	"35,253"	NULL	NULL
15/9-F-12	5599	2016	3	743	"7,360"	"1,185,894"	"40,507"	NULL	NULL
15/9-F-12	5599	2016	4	719	"6,152"	"1,015,034"	"37,126"	NULL	NULL
15/9-F-12	5599	2016	5	741	"5,865"	"925,514"	"36,148"	NULL	NULL
15/9-F-12	5599	2016	6	703	"5,408"	"870,533"	"34,608"	NULL	NULL
15/9-F-12	5599	2016	7	704	"4,534"	"729,319"	"29,940"	NULL	NULL
15/9-F-12	5599	2016	8	286	"1,442"	"232,558"	"10,937"	NULL	NULL
15/9-F-12	5599	2016	9	0	0	0	0	NULL	NULL
15/9-F-14	5351	2008	2	0	0	0	0	NULL	NULL
15/9-F-14	5351	2008	3	0	0	0	0	NULL	NULL
15/9-F-14	5351	2008	4	0	0	0	0	NULL	NULL
15/9-F-14	5351	2008	5	0	0	0	0	NULL	NULL
15/9-F-14	5351	2008	6	0	0	0	0	NULL	NULL
15/9-F-14	5351	2008	7	438	"51,285"	"7,538,861"	126	NULL	NULL
15/9-F-14	5351	2008	8	458	"67,621"	"9,780,532"	223	NULL	NULL
15/9-F-14	5351	2008	9	643	"114,596"	"16,340,515"	276	NULL	NULL
15/9-F-14	5351	2008	10	743	"142,817"	"20,326,866"	101	NULL	NULL
15/9-F-14	5351	2008	11	718	"104,410"	"14,906,020"	190	NULL	NULL
15/9-F-14	5351	2008	12	744	"110,199"	"15,956,253"	67	NULL	NULL
15/9-F-14	5351	2009	1	705	"115,573"	"16,718,455"	978	NULL	NULL
15/9-F-14	5351	2009	2	638	"113,881"	"16,254,377"	"2,529"	NULL	NULL
15/9-F-14	5351	2009	3	531	"90,644"	"12,702,463"	"1,678"	NULL	NULL
15/9-F-14	5351	2009	4	538	"86,944"	"11,926,656"	246	NULL	NULL
15/9-F-14	5351	2009	5	695	"116,175"	"15,944,549"	"3,440"	NULL	NULL
15/9-F-14	5351	2009	6	692	"86,654"	"12,141,881"	"5,731"	NULL	NULL
15/9-F-14	5351	2009	7	742	"64,872"	"9,127,860"	"6,773"	NULL	NULL
15/9-F-14	5351	2009	8	657	"112,494"	"15,664,622"	"20,794"	NULL	NULL
15/9-F-14	5351	2009	9	509	"90,350"	"12,564,633"	"15,275"	NULL	NULL
15/9-F-14	5351	2009	10	655	"96,707"	"13,556,585"	"26,099"	NULL	NULL
15/9-F-14	5351	2009	11	709	"98,044"	"13,821,884"	"39,016"	NULL	NULL
15/9-F-14	5351	2009	12	727	"89,514"	"12,552,908"	"56,173"	NULL	NULL
15/9-F-14	5351	2010	1	742	"82,221"	"11,561,302"	"70,004"	NULL	NULL
15/9-F-14	5351	2010	2	610	"62,093"	"8,751,248"	"62,000"	NULL	NULL
15/9-F-14	5351	2010	3	654	"66,989"	"9,421,805"	"64,561"	NULL	NULL
15/9-F-14	5351	2010	4	680	"73,036"	"10,288,470"	"69,865"	NULL	NULL
15/9-F-14	5351	2010	5	740	"87,809"	"12,490,296"	"85,315"	NULL	NULL
15/9-F-14	5351	2010	6	718	"75,310"	"10,756,577"	"96,581"	NULL	NULL
15/9-F-14	5351	2010	7	742	"69,600"	"10,073,534"	"101,216"	NULL	NULL
15/9-F-14	5351	2010	8	425	"38,414"	"5,543,252"	"56,453"	NULL	NULL
15/9-F-14	5351	2010	9	566	"55,405"	"8,260,552"	"66,507"	NULL	NULL
15/9-F-14	5351	2010	10	743	"78,755"	"11,853,847"	"100,949"	NULL	NULL
15/9-F-14	5351	2010	11	683	"62,555"	"9,485,349"	"96,970"	NULL	NULL
15/9-F-14	5351	2010	12	742	"63,886"	"9,763,160"	"111,640"	NULL	NULL
15/9-F-14	5351	2011	1	744	"61,328"	"9,353,204"	"111,168"	NULL	NULL
15/9-F-14	5351	2011	2	562	"44,066"	"6,830,110"	"79,492"	NULL	NULL
15/9-F-14	5351	2011	3	733	"56,710"	"8,733,755"	"117,498"	NULL	NULL
15/9-F-14	5351	2011	4	718	"51,814"	"8,052,243"	"122,054"	NULL	NULL
15/9-F-14	5351	2011	5	741	"51,122"	"7,972,928"	"129,332"	NULL	NULL
15/9-F-14	5351	2011	6	465	"31,195"	"4,835,912"	"81,259"	NULL	NULL
15/9-F-14	5351	2011	7	255	"20,211"	"3,064,566"	"42,012"	NULL	NULL
15/9-F-14	5351	2011	8	652	"49,730"	"7,681,608"	"108,935"	NULL	NULL
15/9-F-14	5351	2011	9	708	"51,053"	"8,021,384"	"133,958"	NULL	NULL
15/9-F-14	5351	2011	10	327	"21,807"	"3,406,338"	"56,488"	NULL	NULL
15/9-F-14	5351	2011	11	464	"35,044"	"5,381,238"	"73,586"	NULL	NULL
15/9-F-14	5351	2011	12	437	"34,166"	"5,142,970"	"74,443"	NULL	NULL
15/9-F-14	5351	2012	1	364	"27,309"	"4,156,159"	"57,518"	NULL	NULL
15/9-F-14	5351	2012	2	693	"36,798"	"5,598,559"	"55,276"	NULL	NULL
15/9-F-14	5351	2012	3	741	"34,746"	"5,378,189"	"60,226"	NULL	NULL
15/9-F-14	5351	2012	4	720	"36,510"	"5,673,230"	"72,811"	NULL	NULL
15/9-F-14	5351	2012	5	741	"35,052"	"5,495,388"	"82,877"	NULL	NULL
15/9-F-14	5351	2012	6	711	"31,666"	"4,980,411"	"80,184"	NULL	NULL
15/9-F-14	5351	2012	7	744	"32,961"	"5,181,262"	"83,970"	NULL	NULL
15/9-F-14	5351	2012	8	289	"12,690"	"1,974,234"	"33,257"	NULL	NULL
15/9-F-14	5351	2012	9	31	"1,655"	"245,981"	"2,918"	NULL	NULL
15/9-F-14	5351	2012	10	610	"33,944"	"5,155,058"	"60,061"	NULL	NULL
15/9-F-14	5351	2012	11	720	"34,932"	"5,485,685"	"87,227"	NULL	NULL
15/9-F-14	5351	2012	12	711	"30,123"	"4,854,889"	"93,523"	NULL	NULL
15/9-F-14	5351	2013	1	744	"30,185"	"4,834,717"	"99,784"	NULL	NULL
15/9-F-14	5351	2013	2	668	"26,596"	"4,196,332"	"92,121"	NULL	NULL
15/9-F-14	5351	2013	3	508	"18,817"	"2,783,793"	"70,619"	NULL	NULL
15/9-F-14	5351	2013	4	557	"22,875"	"3,676,257"	"79,450"	NULL	NULL
15/9-F-14	5351	2013	5	734	"27,662"	"4,525,932"	"109,553"	NULL	NULL
15/9-F-14	5351	2013	6	630	"22,298"	"3,652,743"	"93,413"	NULL	NULL
15/9-F-14	5351	2013	7	661	"22,603"	"3,553,397"	"94,589"	NULL	NULL
15/9-F-14	5351	2013	8	688	"21,667"	"3,259,564"	"91,453"	NULL	NULL
15/9-F-14	5351	2013	9	627	"17,871"	"2,707,856"	"92,677"	NULL	NULL
15/9-F-14	5351	2013	10	659	"18,441"	"2,757,135"	"96,754"	NULL	NULL
